,Ecosystem Service ,Common ecosystem type/s ,Factors determining supply ,,Factors determining use,Potential physical metric(s) for the ecosystem service,Benefits ,Main users and beneficiaries
,,,Ecological,Societal,,,,
Provisioning services,Crop provisioning services ,Cropland,"Soil fertility, especially chemical state (e.g., soil organic carbon, nutrients); climate; water supply; pollination; genetics ",Farm management at different stages of production process; Harvesting practices; Air pollution affecting soil quality,"Demand for biomass (e.g., for food) ","Gross tonnes of cultivated plants e.g., wheat (proxy measure) ","Crop products – e.g., harvested wheat (SNA benefit)","Agricultural producers, including household and subsistence production "
,Grazed biomass provisioning services,Pastures,Soil fertility; climate; water supply; genetics,Farm management at different stages of production process,"Demand for biomass (e.g., as food for livestock); farming practices",Gross tonnes of grazed biomass ,"Livestock and livestock products (e.g., meat, milk, eggs, wool) (SNA benefits)","Agricultural producers, including household and subsistence production; households "
,Wood provisioning services ,"Forests, woodland ",Soil fertility; climate; water supply; timber stock biomass and composition; genetics ,Forest management and harvesting practices,Demand for timber ,Gross tonnes of wood (timber) biomass harvested ,Harvested timber (SNA benefit) ,"Forestry producers, including households "
,Wild fish and other natural aquatic biomass provisioning services,"Mainly marine, freshwater","Stock biomass and composition; especially Structural State (e.g., trophic composition number, ratio between fishing mortality and fishing at maximum sustainable yield); Chemical State (e.g., temperature, pH, eutrophication, salinity)","Stock management practices, harvesting practice",Demand for aquatic biomass,Gross tonnes of aquatic products harvested,Harvested aquatic products (SNA benefit),"Fishing industry, including direct household consumption; recreational fishing"
,"Wild animals, plants and other biomass provisioning services (excludes aquatic and wood products)",Many ecosystem types,Ecosystem extent and condition; biomass stock; climate,Ecosystem management,Demand for ‘natural’ products,Tonnes of biomass harvested,Harvested products (SNA or non-SNA benefit),"Households, businesses"
,Water supply,"Freshwater, marine, groundwater ecosystems",Quantity and quality of water stocks,Catchment management practices,Demand for water by type of quality,"Cubic metres of water, by type of quality ",Consumptive use by the economy and society (SNA benefit),"Water supply utilities, direct household consumption; other users of water (e.g., farmers)"
Regulating and maintenance services,Global climate regulation services ,"Primarily forests, woodland and shrubland ecosystems, also grasslands and cropland, wetlands, coastal ecosystems, marine ecosystems ","Ecosystem type and condition, especially Structural State (e.g., tree cover density and forest age); atmospheric carbon concentrations ",Ecosystem management; GHG emissions ,"Vulnerability to climate change (exposure, sensitivity and adaptive capacity) ",Tonnes of carbon and other greenhouse gases retained (sequestered & stored) ,Reduced concentrations of GHG in the atmosphere leading to less climate change and fewer adverse effects (non-SNA benefit) ,"Collectively consumed by government on behalf of society (individuals, households and businesses globally)"
,Local (micro and meso) climate regulation services,Mainly urban ecosystems (for people); pastures (for livestock),Ambient atmospheric conditions; type and quantity of vegetation; presence of water bodies,Ecosystem management; urban planning practices,Location of people and animals in relation to vegetation and blue spaces ,Number of households with air temperature reduced by more than 5°C on hot days,Improved living conditions and economic production (non-SNA benefit),"Households, businesses"
,Air filtration services ,Mainly forest and woodland ,"Type and condition of vegetation, especially functional state (e.g., Leaf Area Index) and chemical state (e.g., ambient pollutant concentration)",Ecosystem management; location type and volume of released air pollutants ,Behavioural responses; and location and number of people and buildings affected by pollution ,"Tonnes of pollutants absorbed by type of pollutant (e.g., PM10; PM2.5) ",Reduced concentrations of air pollutants providing improved health outcomes and reduced damage to buildings (non-SNA benefit) ,Households; businesses (through reduced damage to buildings)
,"Soil and sediment retention services
   -   Soil erosion control services
   -   Landslide mitigation services",Many ecosystem types,"Topology; Geology and soil type; Type and condition of vegetation, especially Structural state (e.g., vegetated river banks); rainfall patterns",Ecosystem management,Demand for agricultural and wood biomass; location of managed water bodies at risk from sedimentation;,Tonnes of soil retained; number of properties with reduced risk of landslide,Soil stability: reduced sedimentation downstream (non-SNA benefit); reduced risk of landslide (non-SNA benefit) ,Households and businesses
,Solid waste remediation,"Many ecosystem types, mainly cropland","Condition of soils, especially micro-organisms",Ecosystem management,Type and quantity of solid waste released,Tonnes of solid waste remediated,Reduced impact of alternative methods of disposal (non-SNA benefit),Businesses including household and subsistence production 
,Water purification services ,"Many ecosystems, primarily freshwater and marine ecosystems and associated vegetation","Ecosystem type and condition; Composition of micro-organisms and algae; chemical state (e.g., nitrogen and phosphorus concentrations)",Location type and volume of released water pollutants,Demand for cleaner water for different uses,Tonnes of pollutants remediated by type of pollutant (nutrients and other pollutants),Reduced concentrations of water pollutants providing improved health outcomes and/or reduced water treatment costs (non-SNA benefit),Households and businesses
,"Water flow regulation services
   -   Baseline flow maintenance 
   -   Peak flow mitigation",Terestrial and freshwater ecosystems within riparian and upstream zones  ,"Extent and condition of vegetation and soils (e.g., water infiltration rate); rainfall patterns",Ecosystem management,Demand for water supply at different times of the year (baseline flow maintenance); extent of existing produced assets and location of properties (peak flow mitigation),Capacity of reservoirs or alternative forms of storage (cubic metres) otherwise needed to provide same service ,Reduced need for other forms of water storage for human use or for flood defence (non-SNA benefit),Households and businesses
,Coastal protection services ,Shoreline systems,"Extent and condition of vegetation; and of other features of coastal margins (e.g., coral reefs, sand banks and dunes); ambient climate factors",Ecosystem management ,"Extent of existing produced assets (e.g., flood barriers, dykes); location of properties ",Number of properties in a lower risk category ,Reduced impact or frequency of flood events (non-SNA benefit) ,"Property owners and residents – households, business, government "
,River flood mitigation services,Terestrial and freshwater ecosystems within riparian zones,Extent and condition of riparian vegetation; ambient climate factors,Ecosystem management,"Extent of existing produced assets (e.g., flood barriers, dykes); location of properties",Number of people and buildings in a lower risk category ,Reduced impact of flood events (non-SNA benefit),"Property owners and residents – households, businesses, government"
,Pollination services,"Many ecosystem types, mainly near cropland areas, but also urban gardens",Abundance and location of wild pollinators,Ecosystem management,Location of crops benefiting from wild pollination,"Area of crops pollinated, by type of crop","Reduced need for alternative forms of pollination, including paid pollinator services (SNA benefit)","Cropland ecosystems, ultimately agricultural production including households and subsistence production; households"
,Nursery population and habitat maintenance services,All ecosystems,"Species-level diversity, abundance; condition of ecological communities",Ecosystem management,Demand for biomass which depends upon nursery and habitat services,Size of biomass stocks dependent upon nursery and habitat services,Continuing supply of ecosystem services (non-SNA benefit),"All ecosystems, ultimately all sectors of society"
Cultural services,Recreation-related services,Many ecosystem types ,"Extent and condition; presence of iconic landmarks or species; structural state and landscape/seascape characteristics (e.g., % urban green space, distance to open green space)",Ecosystem management including facilities to support access ,Accessibility of recreation sites; location of users; demand for outdoor recreation,Number and length (hours) of visits,Physical and mental health; enjoyment (non-SNA benefit),Households; tourism and outdoor leisure service sectors
,Visual amenity services,Many ecosystem types,"Landscape setting and condition (e.g., structural state and landscape/seascape characteristics) ",Landscape management  ,Location and design of residential and office buildings; demand for housing in green/blue areas,Number of properties with views of natural landscapes/located near green/blue areas,"Higher values of dwellings (SNA benefit); mental health, enjoyment (non-SNA benefit)",Households
,"Education, scientific and research services",Many ecosystem types,Extent and condition; presence of iconic landmarks or species; structural state and landscape/seascape characteristics ,Access to ecological sites of interest,"Education policies, research priorities and funding","Number of visits for educational, scientific and research purposes","Intellectual development, advancement of knowledge and understanding (non-SNA benefit)",Educational and research organisations
